aclnn_api,torch_npu,torch_npu_via_ops,mindspore,mindspore_pyboost,mindspore_kbk,mindspore_via_ops
aclnnAbs,✅,abs;abs.out;abs_,✅,✅,✅,Abs;IsInf
aclnnAcos,✅,acos;acos.out,✅,✅,✅,AcosExt
aclnnAcosh,✅,acosh;acosh.out,✅,✅,✅,AcoshExt
aclnnAdaLayerNorm,✖️,,✖️,✖️,✖️,
aclnnAdaLayerNormQuant,✖️,,✖️,✖️,✖️,
aclnnAdaLayerNormV2,✖️,,✖️,✖️,✖️,
aclnnAdaptiveAvgPool2d,✅,_adaptive_avg_pool2d;adaptive_avg_pool2d;adaptive_avg_pool2d.out,✅,✅,✅,AdaptiveAvgPool2DExt
aclnnAdaptiveAvgPool2dBackward,✅,_adaptive_avg_pool2d_backward,✅,✅,✅,AdaptiveAvgPool2DGradExt
aclnnAdaptiveAvgPool3d,✅,_adaptive_avg_pool3d;adaptive_avg_pool3d.out,✅,✅,✅,AdaptiveAvgPool3DExt;AdaptiveAvgPool3dExt
aclnnAdaptiveAvgPool3dBackward,✅,_adaptive_avg_pool3d_backward;adaptive_avg_pool3d_backward.grad_input,✅,✅,✅,AdaptiveAvgPool3DGradExt
aclnnAdaptiveMaxPool2d,✅,adaptive_max_pool2d;adaptive_max_pool2d.out,✅,✅,✅,AdaptiveMaxPool2D;AdaptiveMaxPool2d
aclnnAdaptiveMaxPool2dBackward,✅,adaptive_max_pool2d_backward;adaptive_max_pool2d_backward.grad_input,✅,✅,✅,AdaptiveMaxPool2DGrad;AdaptiveMaxPool2dGrad
aclnnAdaptiveMaxPool3d,✅,adaptive_max_pool3d;adaptive_max_pool3d.out,✖️,✖️,✖️,
aclnnAdaptiveMaxPool3dBackward,✅,adaptive_max_pool3d_backward;adaptive_max_pool3d_backward.grad_input,✖️,✖️,✖️,
aclnnAdd,✅,add.Scalar;add.Tensor;add.out,✅,✅,✅,Add;AddExt;Dense
aclnnAddLayerNorm,✅,npu_add_layer_norm,✅,✅,✅,AddLayerNormV2;AddLayernormV2
aclnnAddLayerNormGrad,✅,npu_add_layer_norm_backward,✅,✅,✅,AddLayerNormGrad
aclnnAddLora,✅,npu_batch_gather_matmul;npu_batch_gather_matmul_,✖️,✖️,✖️,
aclnnAddRelu,✅,_add_relu.Tensor;_add_relu.out,✖️,✖️,✖️,
aclnnAddRmsNorm,✅,npu_add_rms_norm,✅,✅,✅,AddRmsNorm
aclnnAddRmsNormCast,✅,npu_add_rms_norm_cast,✖️,✖️,✖️,
aclnnAddRmsNormDynamicQuant,✖️,,✖️,✖️,✖️,
aclnnAddRmsNormDynamicQuantV2,✅,npu_add_rms_norm_dynamic_quant,✖️,✖️,✖️,
aclnnAddRmsNormQuant,✅,npu_add_rms_norm_quant,✅,✅,✅,AddRmsNormQuantV2;AddRmsnormQuantV2
aclnnAddRmsNormQuantV2,✅,npu_add_rms_norm_quant,✖️,✖️,✖️,
aclnnAddbmm,✅,addbmm;addbmm.out;addbmm_,✅,✅,✅,Addbmm
aclnnAddcdiv,✅,addcdiv;addcdiv.out,✅,✅,✅,AddcdivExt
aclnnAddcmul,✅,addcmul;addcmul.out,✅,✅,✅,AddcmulExt
aclnnAddmm,✅,addmm;addmm.out;npu_linear,✅,✅,✅,Addmm;Dense
aclnnAddmmWeightNz,✅,addmm;addmm.out,✖️,✖️,✖️,
aclnnAddmv,✅,addmv;addmv.out;addmv_,✅,✅,✅,Addmv
aclnnAddr,✅,addr;addr.out,✖️,✖️,✖️,
aclnnAdds,✅,add.Scalar;add.Tensor;add.out,✅,✅,✅,AddScalar
aclnnAdvanceStep,✅,npu_advance_step_flashattn,✖️,✖️,✖️,
aclnnAdvanceStepV2,✅,npu_advance_step_flashattn,✖️,✖️,✖️,
aclnnAffineGrid,✅,,✖️,✖️,✖️,
aclnnAll,✅,all;all.all_out;all.dim;all.out,✅,✅,✅,ReduceAll
aclnnAllGatherMatmul,✅,npu_all_gather_base_mm,✅,✅,✅,AllGatherMatmul
aclnnAllGatherMatmulV2,✅,npu_all_gather_base_mm;npu_all_gather_quant_mm,✖️,✖️,✖️,
aclnnAlltoAllAllGatherBatchMatMul,✖️,,✅,✖️,✅,AlltoAllAllGatherBatchMatMul
aclnnAlltoAllvGroupedMatMul,✅,,✖️,✖️,✖️,
aclnnAmax,✅,amax;amax.out,✅,✅,✅,ReduceMax
aclnnAmin,✅,amin;amin.out,✅,✅,✅,ReduceMin
aclnnAminmax,✅,aminmax.out,✖️,✖️,✖️,
aclnnAminmaxAll,✅,_aminmax,✖️,✖️,✖️,
aclnnAminmaxDim,✅,_aminmax.dim,✖️,✖️,✖️,
aclnnAny,✅,any;any.all_out;any.dim;any.out,✅,✅,✅,ReduceAny
aclnnApplyAdamW,✅,npu_apply_adam_w.out,✖️,✖️,✖️,
aclnnApplyAdamWQuant,✖️,,✖️,✖️,✖️,
aclnnApplyAdamWV2,✅,,✅,✅,✅,AdamW;Adamw
aclnnApplyFusedEmaAdam,✖️,,✖️,✖️,✖️,
aclnnApplyRotaryPosEmb,✖️,,✅,✅,✅,ApplyRotaryPosEmb
aclnnApplyRotaryPosEmbV2,✅,npu_apply_rotary_pos_emb,✖️,✖️,✖️,
aclnnApplyTopKTopP,✅,npu_top_k_top_p,✖️,✖️,✖️,
aclnnArange,✅,arange;arange.out;arange.start;arange.start_out;arange.start_step,✅,✅,✅,Arange
aclnnArgMax,✅,argmax.out,✅,✅,✅,ArgMaxExt;ArgmaxExt
aclnnArgMin,✅,argmin;argmin.out,✅,✅,✅,ArgMinExt;ArgminExt
aclnnArgsort,✖️,,✅,✅,✅,
aclnnAscendAntiQuant,✅,npu_anti_quant,✖️,✖️,✖️,
aclnnAscendQuant,✅,,✅,✅,✅,QuantV2
aclnnAscendQuantV3,✅,,✖️,✖️,✖️,
aclnnAsin,✅,asin;asin.out,✅,✅,✅,AsinExt
aclnnAsinh,✅,asinh;asinh.out,✅,✅,✅,AsinhExt
aclnnAtan,✅,atan;atan.out,✅,✅,✅,AtanExt
aclnnAtan2,✅,atan2;atan2.out,✅,✅,✅,Atan2Ext
aclnnAtanh,✅,atanh;atanh.out,✅,✅,✅,Atanh
aclnnAttentionUpdate,✅,npu_attention_update,✖️,✖️,✖️,
aclnnAvgPool2d,✅,avg_pool2d;avg_pool2d.out,✅,✅,✅,AvgPool1D;AvgPool2D;AvgPool2d
aclnnAvgPool2dBackward,✅,avg_pool2d_backward;avg_pool2d_backward.grad_input,✅,✅,✅,AvgPool2DGrad;AvgPool2dGrad
aclnnAvgPool3d,✅,avg_pool3d;avg_pool3d.out,✅,✅,✅,AvgPool3DExt;AvgPool3dExt
aclnnAvgPool3dBackward,✅,avg_pool3d_backward;avg_pool3d_backward.grad_input,✅,✅,✅,AvgPool3DGradExt;AvgPool3dGradExt
aclnnBackgroundReplace,✖️,,✖️,✖️,✖️,
aclnnBaddbmm,✅,baddbmm;baddbmm.out;baddbmm_,✅,✅,✅,Baddbmm
aclnnBatchMatMul,✅,affine_grid_generator_backward;bmm;bmm.out,✅,✅,✅,BatchMatMulExt;BmmExt
aclnnBatchMatMulReduceScatterAlltoAll,✖️,,✅,✖️,✅,BatchMatMulReduceScatterAlltoAll
aclnnBatchMatMulWeightNz,✅,bmm;bmm.out,✖️,✖️,✖️,
aclnnBatchMatmulQuant,✖️,,✖️,✖️,✖️,
aclnnBatchNorm,✅,native_batch_norm;native_batch_norm.out,✅,✅,✅,BatchNormExt
aclnnBatchNormBackward,✅,native_batch_norm_backward,✅,✅,✅,BatchNormGradExt
aclnnBatchNormElemt,✅,batch_norm_elemt;batch_norm_elemt.out,✅,✅,✅,BatchNormElemt
aclnnBatchNormElemtBackward,✅,batch_norm_backward_elemt,✅,✅,✅,BatchNormElemtGrad
aclnnBatchNormGatherStatsWithCounts,✅,batch_norm_gather_stats_with_counts,✅,✅,✅,BatchNormGatherStatsWithCounts
aclnnBatchNormReduce,✅,batch_norm_reduce,✖️,✖️,✖️,
aclnnBatchNormReduceBackward,✅,batch_norm_backward_reduce,✅,✅,✅,BatchNormReduceGrad
aclnnBatchNormStats,✅,batch_norm_stats,✅,✅,✅,BatchNormStats
aclnnBernoulli,✖️,,✖️,✖️,✖️,
aclnnBernoulliTensor,✖️,,✖️,✖️,✖️,
aclnnBidirectionLSTM,✖️,,✖️,✖️,✖️,
aclnnBidirectionLSTMV2,✖️,,✖️,✖️,✖️,
aclnnBinaryCrossEntropy,✅,binary_cross_entropy;binary_cross_entropy.out,✅,✅,✅,BinaryCrossEntropy
aclnnBinaryCrossEntropyBackward,✅,binary_cross_entropy_backward;binary_cross_entropy_backward.grad_input,✅,✅,✅,BinaryCrossEntropyGrad
aclnnBinaryCrossEntropyWithLogits,✅,binary_cross_entropy_with_logits,✅,✅,✅,BCEWithLogitsLoss;BinaryCrossEntropyWithLogits
aclnnBinaryCrossEntropyWithLogitsBackward,✅,npu_binary_cross_entropy_with_logits_backward,✅,✅,✅,BinaryCrossEntropyWithLogitsBackward
aclnnBinaryCrossEntropyWithLogitsTargetBackward,✖️,,✖️,✖️,✖️,
aclnnBincount,✅,bincount,✅,✅,✅,BincountExt
aclnnBitwiseAndScalar,✅,bitwise_and.Scalar;bitwise_and.Scalar_out;bitwise_and.Tensor;bitwise_and.Tensor_out,✅,✅,✅,BitwiseAndScalar
aclnnBitwiseAndTensor,✅,bitwise_and.Scalar;bitwise_and.Scalar_out;bitwise_and.Tensor;bitwise_and.Tensor_out,✅,✅,✅,BitwiseAndTensor
aclnnBitwiseNot,✅,bitwise_not;bitwise_not.out;bitwise_not_,✅,✅,✅,BitwiseNot
aclnnBitwiseOrScalar,✅,bitwise_or.Scalar;bitwise_or.Scalar_out;bitwise_or.Tensor;bitwise_or.Tensor_out,✅,✅,✅,BitwiseOrScalar
aclnnBitwiseOrTensor,✅,bitwise_or.Scalar;bitwise_or.Scalar_out;bitwise_or.Tensor;bitwise_or.Tensor_out,✅,✅,✅,BitwiseOrTensor
aclnnBitwiseXorScalar,✅,bitwise_xor.Scalar;bitwise_xor.Scalar_out;bitwise_xor.Tensor;bitwise_xor.Tensor_out,✅,✅,✅,BitwiseXorScalar
aclnnBitwiseXorTensor,✅,bitwise_xor.Scalar;bitwise_xor.Scalar_out;bitwise_xor.Tensor;bitwise_xor.Tensor_out,✅,✅,✅,BitwiseXorTensor
aclnnBlendImagesCustom,✖️,,✖️,✖️,✖️,
aclnnCalculateConvolutionWeightSize,✖️,,✖️,✖️,✖️,
aclnnCalculateMatmulWeightSize,✖️,,✖️,✖️,✖️,
aclnnCalculateMatmulWeightSizeV2,✖️,,✖️,✖️,✖️,
aclnnCast,✅,_npu_dtype_cast;npu_dtype_cast,✅,✅,✅,Cast;MultiScaleDeformableAttn;MultiScaleDeformableAttnGrad
aclnnCat,✅,cat;cat.names;cat.names_out;cat.out,✅,✅,✅,Concat
aclnnCeil,✅,ceil;ceil.out,✅,✅,✅,Ceil
aclnnCelu,✅,celu,✖️,✖️,✖️,
aclnnChamferDistanceBackward,✖️,,✖️,✖️,✖️,
aclnnChannelShuffle,✅,channel_shuffle,✖️,✖️,✖️,
aclnnCircularPad2d,✖️,,✖️,✖️,✖️,
aclnnCircularPad2dBackward,✖️,,✖️,✖️,✖️,
aclnnCircularPad3d,✖️,,✖️,✖️,✖️,
aclnnCircularPad3dBackward,✖️,,✖️,✖️,✖️,
aclnnClamp,✅,clamp;clamp.out;clamp_,✅,✅,✅,ClampScalar;InplaceClampScalar
aclnnClampMax,✅,clamp_max;clamp_max.out,✖️,✖️,✖️,
aclnnClampMaxTensor,✅,clamp_max.Tensor;clamp_max.Tensor_out,✖️,✖️,✖️,
aclnnClampMin,✅,clamp_min;clamp_min.out;clamp_min_,✅,✅,✅,ClampMin
aclnnClampMinTensor,✅,clamp_min.Tensor;clamp_min.Tensor_out,✖️,✖️,✖️,
aclnnClampTensor,✅,clamp.Tensor;clamp.Tensor_out;clamp_.Tensor,✅,✅,✅,ClampTensor;InplaceClampTensor
aclnnClippedSwiglu,✅,npu_clipped_swiglu,✖️,✖️,✖️,
aclnnComplex,✅,complex;complex.out,✖️,✖️,✖️,
aclnnConstantPadNd,✅,constant_pad_nd,✅,✅,✅,ConstantPadND;ConvolutionStr
aclnnConvDepthwise2d,✅,_conv_depthwise2d;_conv_depthwise2d.out,✖️,✖️,✖️,
aclnnConvTbc,✅,conv_tbc,✖️,✖️,✖️,
aclnnConvTbcBackward,✅,conv_tbc_backward,✖️,✖️,✖️,
aclnnConvertWeightToINT4Pack,✖️,,✖️,✖️,✖️,
aclnnConvolution,✅,_convolution;_nnpack_spatial_convolution;_slow_conv2d_forward;_slow_conv2d_forward.output;convolution_overrideable;slow_conv3d_forward;slow_conv3d_forward.output;slow_conv_dilated2d;slow_conv_transpose2d;slow_conv_transpose2d.out,✅,✅,✅,Conv1DExt;Conv2DExt;Conv3DExt;ConvTranspose2D;Convolution;ConvolutionStr
aclnnConvolutionBackward,✅,_slow_conv2d_backward.output_mask;convolution_backward;convolution_backward_overrideable;slow_conv_dilated2d_backward;slow_conv_transpose2d_backward,✅,✅,✅,ConvolutionGrad;ConvolutionStrGrad
aclnnCos,✅,cos;cos.out,✅,✅,✅,Cos
aclnnCosh,✅,cosh;cosh.out,✅,✅,✅,Cosh
aclnnCrossEntropyLoss,✅,npu_cross_entropy_loss,✅,✅,✅,CrossEntropyLoss
aclnnCrossEntropyLossGrad,✅,npu_cross_entropy_loss_backward,✅,✅,✅,CrossEntropyLossGrad
aclnnCtcLoss,✅,_ctc_loss,✖️,✖️,✖️,
aclnnCtcLossBackward,✅,_ctc_loss_backward,✖️,✖️,✖️,
aclnnCummax,✅,_cummax_helper,✅,✅,✅,Cummax
aclnnCummin,✅,_cummin_helper,✅,✅,✅,CumminExt
aclnnCumprod,✅,cumprod.out,✖️,✖️,✖️,
aclnnCumsum,✅,cumsum;cumsum.dimname_out;cumsum.out,✅,✅,✅,CumsumExt
aclnnCumsumV2,✖️,,✖️,✖️,✖️,
aclnnDeepNorm,✅,npu_deep_norm,✖️,✖️,✖️,
aclnnDeepNormGrad,✅,npu_deep_norm_backward,✖️,✖️,✖️,
aclnnDeformableConv2d,✅,npu_deformable_conv2d,✖️,✖️,✖️,
aclnnDequantBias,✖️,,✖️,✖️,✖️,
aclnnDequantRopeQuantKvcache,✅,npu_dequant_rope_quant_kvcache;npu_rope_quant_kvcache,✖️,✖️,✖️,
aclnnDequantSwigluQuant,✅,npu_dequant_swiglu_quant,✅,✅,✅,DequantSwigluQuant
aclnnDiag,✖️,,✅,✅,✅,DiagExt
aclnnDiagFlat,✖️,,✖️,✖️,✖️,
aclnnDigamma,✖️,,✖️,✖️,✖️,
