aclnn_api,mindspore,pyboost,kbk,kernel_mod_src,pyboost_src,kernel_mod_gen,pyboost_gen,evidence,via_ops,via_kernel_mod_src,via_pyboost_src,via_kernel_mod_gen,via_pyboost_gen,custom_dispatch_ops,custom_dispatch_names,direct_match,suspected_fusion,cpp_funcs,kernel_mod_files,pyboost_files,remarks
aclnnAbs,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen,Abs;IsInf,IsInf,,Abs,Abs,,,Abs,False,IsInfAscend,kernel_mod_impl/customize/isinf_aclnn_kernel.cc;kernel_mod_impl/customize/isinf_aclnn_kernel.h,,shared_by_2_ops
aclnnAcos,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,AcosExt,,,AcosExt,AcosExt,,,,True,,,,
aclnnAcosh,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,AcoshExt,,,AcoshExt,AcoshExt,,,,True,,,,
aclnnAdaLayerNorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnAdaLayerNormQuant,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnAdaLayerNormV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnAdaptiveAvgPool2d,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,AdaptiveAvgPool2DExt,,,AdaptiveAvgPool2DExt,AdaptiveAvgPool2DExt,,,,True,,,,
aclnnAdaptiveAvgPool2dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,AdaptiveAvgPool2DGradExt,,,AdaptiveAvgPool2DGradExt,AdaptiveAvgPool2DGradExt,,,,True,,,,
aclnnAdaptiveAvgPool3d,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,AdaptiveAvgPool3DExt,AdaptiveAvgPool3DExt,,,,,,,True,AdaptiveAvgPool3DExtAclnnKernelMod,kernel_mod_impl/customize/adaptive_avg_pool3d_ext_aclnn_kernel.cc;kernel_mod_impl/customize/adaptive_avg_pool3d_ext_aclnn_kernel.h,,
aclnnAdaptiveAvgPool3dBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,AdaptiveAvgPool3DGradExt,,,AdaptiveAvgPool3DGradExt,AdaptiveAvgPool3DGradExt,,,,True,,,,
