tag,aclnn_api,torch_npu_status,evidence,via_op_names,via_op_names_yaml_exec,via_op_names_src_scan,via_cpp_funcs,cpp_files,op_api_versions,direct_match_ops,suspected_fusion,remarks
all,aclnnAbs,已接入,yaml_exec,abs;abs.out;abs_,abs;abs.out;abs_,,,,all_version,abs;abs.out,False,shared_by_3_ops;yaml_only
all,aclnnAcos,已接入,yaml_exec,acos;acos.out,acos;acos.out,,,,all_version,acos;acos.out,False,shared_by_2_ops;yaml_only
all,aclnnAcosh,已接入,yaml_exec,acosh;acosh.out,acosh;acosh.out,,,,all_version,acosh;acosh.out,False,shared_by_2_ops;yaml_only
all,aclnnAdaLayerNorm,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnAdaLayerNormQuant,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnAdaLayerNormV2,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnAdaptiveAvgPool2d,已接入,src_scan,_adaptive_avg_pool2d;adaptive_avg_pool2d;adaptive_avg_pool2d.out,,_adaptive_avg_pool2d;adaptive_avg_pool2d;adaptive_avg_pool2d.out,_adaptive_avg_pool2d;adaptive_avg_pool2d;adaptive_avg_pool2d_out,../op-plugin/op_plugin/ops/opapi/AdaptiveAvgPool2dKernelNpuOpApi.cpp,"['v2.1', 'newest']",_adaptive_avg_pool2d;adaptive_avg_pool2d;adaptive_avg_pool2d.out,False,shared_by_3_ops;src_only
all,aclnnAdaptiveAvgPool2dBackward,已接入,yaml_exec,_adaptive_avg_pool2d_backward,_adaptive_avg_pool2d_backward,,,,all_version,_adaptive_avg_pool2d_backward,False,yaml_only
all,aclnnAdaptiveAvgPool3d,已接入,yaml_exec,_adaptive_avg_pool3d;adaptive_avg_pool3d.out,_adaptive_avg_pool3d;adaptive_avg_pool3d.out,,,,"['v2.1', 'newest']",_adaptive_avg_pool3d;adaptive_avg_pool3d.out,False,shared_by_2_ops;yaml_only
all,aclnnAdaptiveAvgPool3dBackward,已接入,yaml_exec,_adaptive_avg_pool3d_backward;adaptive_avg_pool3d_backward.grad_input,_adaptive_avg_pool3d_backward;adaptive_avg_pool3d_backward.grad_input,,,,all_version,_adaptive_avg_pool3d_backward;adaptive_avg_pool3d_backward.grad_input,False,shared_by_2_ops;yaml_only
all,aclnnAdaptiveMaxPool2d,已接入,yaml_exec,adaptive_max_pool2d;adaptive_max_pool2d.out,adaptive_max_pool2d;adaptive_max_pool2d.out,,,,all_version,adaptive_max_pool2d;adaptive_max_pool2d.out,False,shared_by_2_ops;yaml_only
all,aclnnAdaptiveMaxPool2dBackward,已接入,yaml_exec,adaptive_max_pool2d_backward;adaptive_max_pool2d_backward.grad_input,adaptive_max_pool2d_backward;adaptive_max_pool2d_backward.grad_input,,,,all_version,adaptive_max_pool2d_backward;adaptive_max_pool2d_backward.grad_input,False,shared_by_2_ops;yaml_only
